date,game,minimum,prediction,confidence,score,actual_total,went_over,result,reasoning
2025-11-14,Golden State Warriors @ San Antonio Spurs,218.5,MAYBE,73,73,217.0,False,SKIPPED,Elite offense (avg ORtg: 116.0) | Above average pace (99.8) | Both teams neutral form
2025-11-14,Philadelphia 76ers @ Detroit Pistons,222.5,YES,87,87,219.0,False,LOSS,Elite offense (avg ORtg: 117.3) | Fast pace (100.3) | Philadelphia 76ers hot (HOT)
2025-11-14,Portland Trail Blazers @ Houston Rockets,231.0,YES,95,95,256.0,True,WIN,Elite offense (avg ORtg: 121.8) | Fast pace (100.2) | Both teams hot (WARM/HOT)
2025-11-14,Charlotte Hornets @ Milwaukee Bucks,224.0,YES,83,83,281.0,True,WIN,Elite offense (avg ORtg: 118.2) | Fast pace (100.2) | Both teams neutral form
2025-11-14,Sacramento Kings @ Minnesota Timberwolves,219.5,MAYBE,77,77,234.0,True,SKIPPED,Strong offense (avg ORtg: 115.6) | Fast pace (101.5) | Sacramento Kings hot (WARM)
2025-11-14,Los Angeles Lakers @ New Orleans Pelicans,209.5,NO,45,45,222.0,True,SKIPPED,Above-avg offense (avg ORtg: 113.2) | Above average pace (98.8) | Good buffer (15.0 pts above minimum)
2025-11-14,Los Angeles Clippers @ Dallas Mavericks,205.5,NO,35,35,260.0,True,SKIPPED,Above average pace (99.6) | Good buffer (15.2 pts above minimum) | Both teams rested (2+ days)
2025-11-14,Brooklyn Nets @ Orlando Magic,209.5,NO,65,65,203.0,False,SKIPPED,Above-avg offense (avg ORtg: 112.8) | Above average pace (99.5) | Both teams hot (WARM/HOT)
2025-11-14,Los Angeles Clippers @ Dallas Mavericks,205.5,NO,35,35,260.0,True,SKIPPED,Above average pace (99.6) | Good buffer (15.2 pts above minimum) | Both teams rested (2+ days)
2025-11-14,Brooklyn Nets @ Orlando Magic,209.5,NO,65,65,203.0,False,SKIPPED,Above-avg offense (avg ORtg: 112.8) | Above average pace (99.5) | Both teams hot (WARM/HOT)
2025-11-14,Philadelphia 76ers @ Detroit Pistons,222.5,YES,87,87,219.0,False,LOSS,Elite offense (avg ORtg: 117.3) | Fast pace (100.3) | Philadelphia 76ers hot (HOT)
2025-11-14,Portland Trail Blazers @ Houston Rockets,231.0,YES,95,95,256.0,True,WIN,Elite offense (avg ORtg: 121.8) | Fast pace (100.2) | Both teams hot (WARM/HOT)
2025-11-14,Charlotte Hornets @ Milwaukee Bucks,224.0,YES,83,83,281.0,True,WIN,Elite offense (avg ORtg: 118.2) | Fast pace (100.2) | Both teams neutral form
2025-11-14,Sacramento Kings @ Minnesota Timberwolves,219.5,MAYBE,77,77,234.0,True,SKIPPED,Strong offense (avg ORtg: 115.6) | Fast pace (101.5) | Sacramento Kings hot (WARM)
2025-11-14,Los Angeles Lakers @ New Orleans Pelicans,209.5,NO,45,45,222.0,True,SKIPPED,Above-avg offense (avg ORtg: 113.2) | Above average pace (98.8) | Good buffer (15.0 pts above minimum)
2025-11-14,Miami Heat @ New York Knicks,232.5,MAYBE,72,72,272.0,True,SKIPPED,Elite offense (avg ORtg: 120.2) | Fast pace (102.5) | Moderate buffer (14.9 pts above minimum)
2025-11-14,Miami Heat @ New York Knicks,232.5,MAYBE,72,72,272.0,True,SKIPPED,Elite offense (avg ORtg: 120.2) | Fast pace (102.5) | Moderate buffer (14.9 pts above minimum)
2025-11-14,Golden State Warriors @ San Antonio Spurs,218.5,MAYBE,73,73,217.0,False,SKIPPED,Elite offense (avg ORtg: 116.0) | Above average pace (99.8) | Both teams neutral form
2025-11-07,Charlotte Hornets @ Miami Heat,229.0,MAYBE,75,75,234.0,True,SKIPPED,Elite offense (avg ORtg: 117.9) | Fast pace (102.7) | Good buffer (15.2 pts above minimum)
2025-11-07,Boston Celtics @ Orlando Magic,214.0,YES,82,82,233.0,True,WIN,Elite offense (avg ORtg: 116.2) | Above average pace (98.4) | Both teams hot (HOT/HOT)
2025-11-07,Cleveland Cavaliers @ Washington Wizards,220.5,NO,55,55,263.0,True,SKIPPED,Above-avg offense (avg ORtg: 113.5) | Fast pace (102.5) | Good buffer (15.2 pts above minimum)
2025-11-07,Toronto Raptors @ Atlanta Hawks,222.0,YES,92,92,206.0,False,LOSS,Elite offense (avg ORtg: 116.8) | Fast pace (101.3) | Both teams hot (HOT/HOT)
2025-11-07,Detroit Pistons @ Brooklyn Nets,212.0,NO,57,57,232.0,True,SKIPPED,Above-avg offense (avg ORtg: 113.5) | Above average pace (99.6) | Brooklyn Nets hot (WARM)
2025-11-07,Houston Rockets @ San Antonio Spurs,229.0,MAYBE,74,74,231.0,True,SKIPPED,Elite offense (avg ORtg: 122.2) | Above average pace (98.4) | Houston Rockets hot (HOT)
2025-11-07,Dallas Mavericks @ Memphis Grizzlies,207.0,NO,57,57,222.0,True,SKIPPED,Fast pace (102.5) | Memphis Grizzlies hot (WARM) | Good buffer (15.0 pts above minimum)
2025-11-07,Chicago Bulls @ Milwaukee Bucks,224.0,YES,80,80,236.0,True,WIN,Elite offense (avg ORtg: 117.3) | Fast pace (101.4) | Both teams neutral form
2025-11-07,Utah Jazz @ Minnesota Timberwolves,222.5,YES,87,87,234.0,True,WIN,Elite offense (avg ORtg: 117.5) | Fast pace (100.8) | Utah Jazz hot (HOT)
2025-11-07,Boston Celtics @ Orlando Magic,214.0,YES,82,82,233.0,True,WIN,Elite offense (avg ORtg: 116.2) | Above average pace (98.4) | Both teams hot (HOT/HOT)
2025-11-07,Cleveland Cavaliers @ Washington Wizards,220.5,NO,55,55,263.0,True,SKIPPED,Above-avg offense (avg ORtg: 113.5) | Fast pace (102.5) | Good buffer (15.2 pts above minimum)
2025-11-07,Golden State Warriors @ Denver Nuggets,224.5,MAYBE,73,73,233.0,True,SKIPPED,Elite offense (avg ORtg: 119.2) | Above average pace (99.8) | Both teams neutral form
2025-11-07,Detroit Pistons @ Brooklyn Nets,212.0,NO,57,57,232.0,True,SKIPPED,Above-avg offense (avg ORtg: 113.5) | Above average pace (99.6) | Brooklyn Nets hot (WARM)
2025-11-07,Houston Rockets @ San Antonio Spurs,229.0,MAYBE,74,74,231.0,True,SKIPPED,Elite offense (avg ORtg: 122.2) | Above average pace (98.4) | Houston Rockets hot (HOT)
2025-11-07,Dallas Mavericks @ Memphis Grizzlies,207.0,NO,57,57,222.0,True,SKIPPED,Fast pace (102.5) | Memphis Grizzlies hot (WARM) | Good buffer (15.0 pts above minimum)
2025-11-07,Charlotte Hornets @ Miami Heat,229.0,MAYBE,75,75,234.0,True,SKIPPED,Elite offense (avg ORtg: 117.9) | Fast pace (102.7) | Good buffer (15.2 pts above minimum)
2025-11-07,Chicago Bulls @ Milwaukee Bucks,224.0,YES,80,80,236.0,True,WIN,Elite offense (avg ORtg: 117.3) | Fast pace (101.4) | Both teams neutral form
2025-11-07,Utah Jazz @ Minnesota Timberwolves,222.5,YES,87,87,234.0,True,WIN,Elite offense (avg ORtg: 117.5) | Fast pace (100.8) | Utah Jazz hot (HOT)
2025-11-07,Golden State Warriors @ Denver Nuggets,224.5,MAYBE,73,73,233.0,True,SKIPPED,Elite offense (avg ORtg: 119.2) | Above average pace (99.8) | Both teams neutral form
2025-11-07,Oklahoma City Thunder @ Sacramento Kings,220.5,MAYBE,77,77,233.0,True,SKIPPED,Strong offense (avg ORtg: 115.0) | Fast pace (100.9) | Sacramento Kings hot (WARM)
2025-11-07,Oklahoma City Thunder @ Sacramento Kings,220.5,MAYBE,77,77,233.0,True,SKIPPED,Strong offense (avg ORtg: 115.0) | Fast pace (100.9) | Sacramento Kings hot (WARM)
2025-11-07,Toronto Raptors @ Atlanta Hawks,222.0,YES,92,92,206.0,False,LOSS,Elite offense (avg ORtg: 116.8) | Fast pace (101.3) | Both teams hot (HOT/HOT)
2025-10-24,Detroit Pistons @ Houston Rockets,228.5,MAYBE,77,77,226.0,False,SKIPPED,Elite offense (avg ORtg: 121.3) | Above average pace (99.2) | Houston Rockets hot (HOT)
2025-10-24,Minnesota Timberwolves @ Los Angeles Lakers,222.5,MAYBE,75,75,238.0,True,SKIPPED,Elite offense (avg ORtg: 118.5) | Fast pace (100.2) | Good buffer (15.0 pts above minimum)
2025-10-24,Washington Wizards @ Dallas Mavericks,207.5,NO,45,45,224.0,True,SKIPPED,Fast pace (102.8) | Good buffer (15.2 pts above minimum) | Both teams rested (2+ days)
2025-10-24,Miami Heat @ Memphis Grizzlies,223.0,MAYBE,77,77,260.0,True,SKIPPED,Strong offense (avg ORtg: 114.0) | Fast pace (103.8) | Memphis Grizzlies hot (WARM)
2025-10-24,San Antonio Spurs @ New Orleans Pelicans,212.0,NO,60,60,236.0,True,SKIPPED,Strong offense (avg ORtg: 114.2) | Above average pace (98.4) | Both teams neutral form
2025-10-24,Boston Celtics @ New York Knicks,220.5,NO,67,67,200.0,False,SKIPPED,Elite offense (avg ORtg: 120.1) | Average pace (97.9) | Boston Celtics hot (HOT)
2025-10-24,Cleveland Cavaliers @ Brooklyn Nets,216.0,MAYBE,77,77,255.0,True,SKIPPED,Strong offense (avg ORtg: 114.7) | Fast pace (100.3) | Brooklyn Nets hot (WARM)
2025-10-24,Atlanta Hawks @ Orlando Magic,218.0,YES,82,82,218.0,False,LOSS,Strong offense (avg ORtg: 115.0) | Fast pace (101.2) | Both teams hot (HOT/HOT)
2025-10-24,Milwaukee Bucks @ Toronto Raptors,225.0,YES,87,87,238.0,True,WIN,Elite offense (avg ORtg: 118.6) | Fast pace (100.8) | Toronto Raptors hot (HOT)
2025-10-24,Atlanta Hawks @ Orlando Magic,218.0,YES,82,82,218.0,False,LOSS,Strong offense (avg ORtg: 115.0) | Fast pace (101.2) | Both teams hot (HOT/HOT)
2025-10-24,Golden State Warriors @ Portland Trail Blazers,220.5,MAYBE,72,72,258.0,True,SKIPPED,Strong offense (avg ORtg: 115.5) | Fast pace (101.7) | Portland Trail Blazers hot (WARM)
2025-10-24,Milwaukee Bucks @ Toronto Raptors,225.0,YES,87,87,238.0,True,WIN,Elite offense (avg ORtg: 118.6) | Fast pace (100.8) | Toronto Raptors hot (HOT)
2025-10-24,Cleveland Cavaliers @ Brooklyn Nets,216.0,MAYBE,77,77,255.0,True,SKIPPED,Strong offense (avg ORtg: 114.7) | Fast pace (100.3) | Brooklyn Nets hot (WARM)
2025-10-24,Phoenix Suns @ Los Angeles Clippers,215.0,NO,58,58,231.0,True,SKIPPED,Elite offense (avg ORtg: 116.3) | Average pace (97.6) | Good buffer (15.0 pts above minimum)
2025-10-24,Utah Jazz @ Sacramento Kings,214.5,MAYBE,75,75,209.0,False,SKIPPED,Above-avg offense (avg ORtg: 112.3) | Fast pace (101.7) | Both teams hot (HOT/WARM)
2025-10-24,Golden State Warriors @ Portland Trail Blazers,220.5,MAYBE,72,72,258.0,True,SKIPPED,Strong offense (avg ORtg: 115.5) | Fast pace (101.7) | Portland Trail Blazers hot (WARM)
2025-10-24,Detroit Pistons @ Houston Rockets,228.5,MAYBE,77,77,226.0,False,SKIPPED,Elite offense (avg ORtg: 121.3) | Above average pace (99.2) | Houston Rockets hot (HOT)
2025-10-24,Boston Celtics @ New York Knicks,220.5,NO,67,67,200.0,False,SKIPPED,Elite offense (avg ORtg: 120.1) | Average pace (97.9) | Boston Celtics hot (HOT)
2025-10-24,San Antonio Spurs @ New Orleans Pelicans,212.0,NO,60,60,236.0,True,SKIPPED,Strong offense (avg ORtg: 114.2) | Above average pace (98.4) | Both teams neutral form
2025-10-24,Miami Heat @ Memphis Grizzlies,223.0,MAYBE,77,77,260.0,True,SKIPPED,Strong offense (avg ORtg: 114.0) | Fast pace (103.8) | Memphis Grizzlies hot (WARM)
2025-10-24,Phoenix Suns @ Los Angeles Clippers,215.0,NO,58,58,231.0,True,SKIPPED,Elite offense (avg ORtg: 116.3) | Average pace (97.6) | Good buffer (15.0 pts above minimum)
2025-10-24,Utah Jazz @ Sacramento Kings,214.5,MAYBE,75,75,209.0,False,SKIPPED,Above-avg offense (avg ORtg: 112.3) | Fast pace (101.7) | Both teams hot (HOT/WARM)
2025-10-24,Washington Wizards @ Dallas Mavericks,207.5,NO,45,45,224.0,True,SKIPPED,Fast pace (102.8) | Good buffer (15.2 pts above minimum) | Both teams rested (2+ days)
2025-10-24,Minnesota Timberwolves @ Los Angeles Lakers,222.5,MAYBE,75,75,238.0,True,SKIPPED,Elite offense (avg ORtg: 118.5) | Fast pace (100.2) | Good buffer (15.0 pts above minimum)
2025-10-31,Denver Nuggets @ Portland Trail Blazers,230.0,YES,87,87,216.0,False,LOSS,Elite offense (avg ORtg: 120.8) | Fast pace (101.0) | Portland Trail Blazers hot (WARM)
2025-10-31,New Orleans Pelicans @ Los Angeles Clippers,205.0,NO,25,25,250.0,True,SKIPPED,Average pace (97.0) | Moderate buffer (14.9 pts above minimum) | Both teams rested (2+ days)
2025-10-31,Boston Celtics @ Philadelphia 76ers,217.5,YES,85,85,217.0,False,LOSS,Elite offense (avg ORtg: 117.9) | Above average pace (98.1) | Both teams hot (HOT/HOT)
2025-10-31,New Orleans Pelicans @ Los Angeles Clippers,205.0,NO,25,25,250.0,True,SKIPPED,Average pace (97.0) | Moderate buffer (14.9 pts above minimum) | Both teams rested (2+ days)
2025-10-31,Denver Nuggets @ Portland Trail Blazers,230.0,YES,87,87,216.0,False,LOSS,Elite offense (avg ORtg: 120.8) | Fast pace (101.0) | Portland Trail Blazers hot (WARM)
2025-10-31,Utah Jazz @ Phoenix Suns,220.0,MAYBE,74,74,214.0,False,SKIPPED,Elite offense (avg ORtg: 116.7) | Above average pace (99.8) | Utah Jazz hot (HOT)
2025-10-31,Los Angeles Lakers @ Memphis Grizzlies,214.0,NO,64,64,229.0,True,SKIPPED,Above-avg offense (avg ORtg: 113.2) | Fast pace (101.1) | Memphis Grizzlies hot (WARM)
2025-10-31,New York Knicks @ Chicago Bulls,225.5,YES,83,83,260.0,True,WIN,Elite offense (avg ORtg: 119.4) | Fast pace (100.8) | Both teams neutral form
2025-10-31,Toronto Raptors @ Cleveland Cavaliers,227.0,YES,87,87,213.0,False,LOSS,Elite offense (avg ORtg: 118.7) | Fast pace (101.6) | Toronto Raptors hot (HOT)
2025-10-31,Utah Jazz @ Phoenix Suns,220.0,MAYBE,74,74,214.0,False,SKIPPED,Elite offense (avg ORtg: 116.7) | Above average pace (99.8) | Utah Jazz hot (HOT)
2025-10-31,Los Angeles Lakers @ Memphis Grizzlies,214.0,NO,64,64,229.0,True,SKIPPED,Above-avg offense (avg ORtg: 113.2) | Fast pace (101.1) | Memphis Grizzlies hot (WARM)
2025-10-31,Atlanta Hawks @ Indiana Pacers,210.5,NO,65,65,236.0,True,SKIPPED,Fast pace (101.6) | Both teams hot (HOT/WARM) | Good buffer (15.1 pts above minimum)
2025-10-31,Toronto Raptors @ Cleveland Cavaliers,227.0,YES,87,87,213.0,False,LOSS,Elite offense (avg ORtg: 118.7) | Fast pace (101.6) | Toronto Raptors hot (HOT)
2025-10-31,Boston Celtics @ Philadelphia 76ers,217.5,YES,85,85,217.0,False,LOSS,Elite offense (avg ORtg: 117.9) | Above average pace (98.1) | Both teams hot (HOT/HOT)
2025-10-31,Atlanta Hawks @ Indiana Pacers,210.5,NO,65,65,236.0,True,SKIPPED,Fast pace (101.6) | Both teams hot (HOT/WARM) | Good buffer (15.1 pts above minimum)
2025-10-31,New York Knicks @ Chicago Bulls,225.5,YES,83,83,260.0,True,WIN,Elite offense (avg ORtg: 119.4) | Fast pace (100.8) | Both teams neutral form
2025-11-10,Cleveland Cavaliers @ Miami Heat,232.5,MAYBE,75,75,278.0,True,SKIPPED,Elite offense (avg ORtg: 118.2) | Fast pace (103.8) | Good buffer (15.0 pts above minimum)
2025-11-10,Portland Trail Blazers @ Orlando Magic,221.5,YES,87,87,227.0,True,WIN,Elite offense (avg ORtg: 116.1) | Fast pace (101.8) | Both teams hot (WARM/HOT)
2025-11-10,Cleveland Cavaliers @ Miami Heat,232.5,MAYBE,75,75,278.0,True,SKIPPED,Elite offense (avg ORtg: 118.2) | Fast pace (103.8) | Good buffer (15.0 pts above minimum)
2025-11-10,Portland Trail Blazers @ Orlando Magic,221.5,YES,87,87,227.0,True,WIN,Elite offense (avg ORtg: 116.1) | Fast pace (101.8) | Both teams hot (WARM/HOT)
2025-11-10,Washington Wizards @ Detroit Pistons,216.5,NO,58,58,272.0,True,SKIPPED,Above-avg offense (avg ORtg: 112.4) | Fast pace (101.8) | Both teams neutral form
2025-11-10,Los Angeles Lakers @ Charlotte Hornets,220.0,NO,65,65,232.0,True,SKIPPED,Elite offense (avg ORtg: 117.2) | Above average pace (99.8) | Good buffer (15.0 pts above minimum)
2025-11-10,San Antonio Spurs @ Chicago Bulls,222.0,YES,83,83,238.0,True,WIN,Elite offense (avg ORtg: 117.2) | Fast pace (100.7) | Both teams neutral form
2025-11-10,Milwaukee Bucks @ Dallas Mavericks,214.5,NO,37,37,230.0,True,SKIPPED,Fast pace (101.8) | Moderate buffer (14.9 pts above minimum) | Milwaukee Bucks on back-to-back
2025-11-10,New Orleans Pelicans @ Phoenix Suns,212.0,NO,60,60,219.0,True,SKIPPED,Strong offense (avg ORtg: 114.5) | Above average pace (98.2) | Both teams neutral form
2025-11-10,Minnesota Timberwolves @ Utah Jazz,222.5,YES,82,82,233.0,True,WIN,Elite offense (avg ORtg: 117.5) | Fast pace (100.8) | Utah Jazz hot (HOT)
2025-11-10,Atlanta Hawks @ Los Angeles Clippers,213.5,NO,67,67,207.0,False,SKIPPED,Strong offense (avg ORtg: 114.3) | Above average pace (99.1) | Atlanta Hawks hot (HOT)
2025-11-10,Minnesota Timberwolves @ Utah Jazz,222.5,YES,82,82,233.0,True,WIN,Elite offense (avg ORtg: 117.5) | Fast pace (100.8) | Utah Jazz hot (HOT)
2025-11-10,New Orleans Pelicans @ Phoenix Suns,212.0,NO,60,60,219.0,True,SKIPPED,Strong offense (avg ORtg: 114.5) | Above average pace (98.2) | Both teams neutral form
2025-11-10,Milwaukee Bucks @ Dallas Mavericks,214.5,NO,37,37,230.0,True,SKIPPED,Fast pace (101.8) | Moderate buffer (14.9 pts above minimum) | Milwaukee Bucks on back-to-back
2025-11-10,San Antonio Spurs @ Chicago Bulls,222.0,YES,83,83,238.0,True,WIN,Elite offense (avg ORtg: 117.2) | Fast pace (100.7) | Both teams neutral form
2025-11-10,Atlanta Hawks @ Los Angeles Clippers,213.5,NO,67,67,207.0,False,SKIPPED,Strong offense (avg ORtg: 114.3) | Above average pace (99.1) | Atlanta Hawks hot (HOT)
2025-11-10,Los Angeles Lakers @ Charlotte Hornets,220.0,NO,65,65,232.0,True,SKIPPED,Elite offense (avg ORtg: 117.2) | Above average pace (99.8) | Good buffer (15.0 pts above minimum)
2025-11-10,Washington Wizards @ Detroit Pistons,216.5,NO,58,58,272.0,True,SKIPPED,Above-avg offense (avg ORtg: 112.4) | Fast pace (101.8) | Both teams neutral form
2025-11-03,Minnesota Timberwolves @ Brooklyn Nets,215.5,NO,59,59,234.0,True,SKIPPED,Strong offense (avg ORtg: 115.7) | Above average pace (99.5) | Brooklyn Nets hot (WARM)
2025-11-03,Milwaukee Bucks @ Indiana Pacers,213.5,NO,57,57,232.0,True,SKIPPED,Fast pace (101.1) | Indiana Pacers hot (WARM) | Good buffer (15.2 pts above minimum)
2025-11-03,Miami Heat @ Los Angeles Clippers,222.0,NO,57,57,239.0,True,SKIPPED,Strong offense (avg ORtg: 115.8) | Fast pace (101.0) | Moderate buffer (14.8 pts above minimum)
2025-11-03,Los Angeles Lakers @ Portland Trail Blazers,221.5,YES,82,82,238.0,True,WIN,Elite offense (avg ORtg: 116.7) | Fast pace (101.4) | Portland Trail Blazers hot (WARM)
2025-11-03,Milwaukee Bucks @ Indiana Pacers,213.5,NO,57,57,232.0,True,SKIPPED,Fast pace (101.1) | Indiana Pacers hot (WARM) | Good buffer (15.2 pts above minimum)
2025-11-03,Los Angeles Lakers @ Portland Trail Blazers,221.5,YES,82,82,238.0,True,WIN,Elite offense (avg ORtg: 116.7) | Fast pace (101.4) | Portland Trail Blazers hot (WARM)
2025-11-03,Sacramento Kings @ Denver Nuggets,222.5,YES,87,87,254.0,True,WIN,Elite offense (avg ORtg: 117.5) | Fast pace (100.8) | Sacramento Kings hot (WARM)
2025-11-03,Detroit Pistons @ Memphis Grizzlies,216.0,NO,62,62,220.0,True,SKIPPED,Above-avg offense (avg ORtg: 113.3) | Fast pace (101.5) | Memphis Grizzlies hot (WARM)
2025-11-03,Washington Wizards @ New York Knicks,220.5,NO,68,68,221.0,True,SKIPPED,Strong offense (avg ORtg: 115.5) | Fast pace (101.2) | Both teams neutral form
2025-11-03,Washington Wizards @ New York Knicks,220.5,NO,68,68,221.0,True,SKIPPED,Strong offense (avg ORtg: 115.5) | Fast pace (101.2) | Both teams neutral form
2025-11-03,Utah Jazz @ Boston Celtics,214.5,MAYBE,70,70,208.0,False,SKIPPED,Strong offense (avg ORtg: 115.9) | Above average pace (98.6) | Both teams hot (HOT/HOT)
2025-11-03,Minnesota Timberwolves @ Brooklyn Nets,215.5,NO,59,59,234.0,True,SKIPPED,Strong offense (avg ORtg: 115.7) | Above average pace (99.5) | Brooklyn Nets hot (WARM)
2025-11-03,Sacramento Kings @ Denver Nuggets,222.5,YES,87,87,254.0,True,WIN,Elite offense (avg ORtg: 117.5) | Fast pace (100.8) | Sacramento Kings hot (WARM)
2025-11-03,Detroit Pistons @ Memphis Grizzlies,216.0,NO,62,62,220.0,True,SKIPPED,Above-avg offense (avg ORtg: 113.3) | Fast pace (101.5) | Memphis Grizzlies hot (WARM)
2025-11-03,Dallas Mavericks @ Houston Rockets,219.5,MAYBE,77,77,212.0,False,SKIPPED,Strong offense (avg ORtg: 115.4) | Fast pace (100.2) | Houston Rockets hot (HOT)
2025-11-03,Utah Jazz @ Boston Celtics,214.5,MAYBE,70,70,208.0,False,SKIPPED,Strong offense (avg ORtg: 115.9) | Above average pace (98.6) | Both teams hot (HOT/HOT)
2025-11-03,Miami Heat @ Los Angeles Clippers,222.0,NO,57,57,239.0,True,SKIPPED,Strong offense (avg ORtg: 115.8) | Fast pace (101.0) | Moderate buffer (14.8 pts above minimum)
2025-11-03,Dallas Mavericks @ Houston Rockets,219.5,MAYBE,77,77,212.0,False,SKIPPED,Strong offense (avg ORtg: 115.4) | Fast pace (100.2) | Houston Rockets hot (HOT)
2025-10-27,Portland Trail Blazers @ Los Angeles Lakers,221.5,MAYBE,77,77,230.0,True,SKIPPED,Elite offense (avg ORtg: 116.7) | Fast pace (101.4) | Portland Trail Blazers hot (WARM)
2025-10-27,Memphis Grizzlies @ Golden State Warriors,213.0,NO,64,64,249.0,True,SKIPPED,Above-avg offense (avg ORtg: 112.0) | Fast pace (101.3) | Memphis Grizzlies hot (WARM)
2025-10-27,Boston Celtics @ New Orleans Pelicans,206.5,NO,45,45,212.0,True,SKIPPED,Above-avg offense (avg ORtg: 113.8) | Average pace (96.9) | Boston Celtics hot (HOT)
2025-10-27,Brooklyn Nets @ Houston Rockets,219.5,MAYBE,70,70,246.0,True,SKIPPED,Elite offense (avg ORtg: 118.5) | Average pace (98.0) | Both teams hot (WARM/HOT)
2025-10-27,Atlanta Hawks @ Chicago Bulls,220.5,MAYBE,77,77,251.0,True,SKIPPED,Strong offense (avg ORtg: 115.6) | Fast pace (101.9) | Atlanta Hawks hot (HOT)
2025-10-27,Orlando Magic @ Philadelphia 76ers,220.0,YES,95,95,260.0,True,WIN,Elite offense (avg ORtg: 116.6) | Fast pace (100.2) | Both teams hot (HOT/HOT)
2025-10-27,Cleveland Cavaliers @ Detroit Pistons,225.5,NO,62,62,211.0,False,SKIPPED,Elite offense (avg ORtg: 117.4) | Fast pace (101.5) | Moderate buffer (14.9 pts above minimum)
