game_time,away_team,home_team,game,minimum_total,minimum_odds,decision,confidence,score,confidence_level,action,stake,reasoning,full_factors
2025-11-05 21:00:00-05:00,Miami Heat,Denver Nuggets,Miami Heat @ Denver Nuggets,220.5,-820,YES,92,92,HIGH,BET IT,3% bankroll,Elite offense (avg ORtg: 120.2) | Fast pace (102.8) | Denver Nuggets hot (WARM),"{'offensive_power': {'score': 30, 'reason': 'Elite offense (avg ORtg: 120.2)', 'ortg': np.float64(120.15)}, 'pace': {'away_pace': np.float64(105.4), 'home_pace': np.float64(100.1), 'projected_pace': np.float64(102.8), 'pace_score': 25, 'reason': 'Fast pace (102.8)'}, 'form': {'away_form': {'team': 'Miami Heat', 'last_6_scores': [101.0, 101.0, 144.0, 144.0, 121.0, 121.0], 'avg_last_6': np.float64(122.0), 'season_ppg': np.float64(123.9), 'diff': np.float64(-1.9), 'is_hot': False, 'trend': 'NEUTRAL', 'form_score': 8}, 'home_form': {'team': 'Denver Nuggets', 'last_6_scores': [133.0, 133.0, 131.0, 131.0, 122.0, 122.0], 'avg_last_6': np.float64(128.7), 'season_ppg': np.float64(125.0), 'diff': np.float64(3.7), 'is_hot': True, 'trend': 'WARM', 'form_score': 12}, 'combined_score': 12, 'reason': 'Denver Nuggets hot (WARM)'}, 'buffer': {'score': 15, 'reason': 'Strong buffer (28.4 pts above minimum)', 'buffer': np.float64(28.400000000000006)}, 'rest': {'away_rest': {'team': 'Miami Heat', 'game_date': Timestamp('2025-11-05 21:00:00'), 'last_game_date': Timestamp('2025-11-03 00:00:00'), 'rest_days': 2, 'is_b2b': False, 'fatigue_level': 'SHORT_REST'}, 'home_rest': {'team': 'Denver Nuggets', 'game_date': Timestamp('2025-11-05 21:00:00'), 'last_game_date': Timestamp('2025-11-03 00:00:00'), 'rest_days': 2, 'is_b2b': False, 'fatigue_level': 'SHORT_REST'}, 'combined_score': 10, 'reason': 'Both teams rested (2+ days)'}}"
2025-11-05 19:00:00-05:00,Utah Jazz,Detroit Pistons,Utah Jazz @ Detroit Pistons,210.5,-950,YES,90,90,HIGH,BET IT,3% bankroll,Strong offense (avg ORtg: 114.8) | Fast pace (100.1) | Both teams hot (HOT/HOT),"{'offensive_power': {'score': 20, 'reason': 'Strong offense (avg ORtg: 114.8)', 'ortg': np.float64(114.8)}, 'pace': {'away_pace': np.float64(99.2), 'home_pace': np.float64(100.9), 'projected_pace': np.float64(100.1), 'pace_score': 25, 'reason': 'Fast pace (100.1)'}, 'form': {'away_form': {'team': 'Utah Jazz', 'last_6_scores': [103.0, 103.0, 129.0, 129.0, 134.0, 134.0], 'avg_last_6': np.float64(122.0), 'season_ppg': np.float64(115.6), 'diff': np.float64(6.4), 'is_hot': True, 'trend': 'HOT', 'form_score': 20}, 'home_form': {'team': 'Detroit Pistons', 'last_6_scores': [119.0, 119.0, 111.0, 111.0, 135.0, 135.0], 'avg_last_6': np.float64(121.7), 'season_ppg': np.float64(115.9), 'diff': np.float64(5.8), 'is_hot': True, 'trend': 'HOT', 'form_score': 20}, 'combined_score': 20, 'reason': 'Both teams hot (HOT/HOT)'}, 'buffer': {'score': 15, 'reason': 'Strong buffer (21.0 pts above minimum)', 'buffer': np.float64(21.0)}, 'rest': {'away_rest': {'team': 'Utah Jazz', 'game_date': Timestamp('2025-11-05 19:00:00'), 'last_game_date': Timestamp('2025-11-03 00:00:00'), 'rest_days': 2, 'is_b2b': False, 'fatigue_level': 'SHORT_REST'}, 'home_rest': {'team': 'Detroit Pistons', 'game_date': Timestamp('2025-11-05 19:00:00'), 'last_game_date': Timestamp('2025-11-03 00:00:00'), 'rest_days': 2, 'is_b2b': False, 'fatigue_level': 'SHORT_REST'}, 'combined_score': 10, 'reason': 'Both teams rested (2+ days)'}}"
2025-11-05 19:10:00-05:00,Philadelphia 76ers,Cleveland Cavaliers,Philadelphia 76ers @ Cleveland Cavaliers,214.5,-770,YES,83,83,HIGH,BET IT,3% bankroll,Elite offense (avg ORtg: 116.5) | Fast pace (101.3) | Both teams neutral form,"{'offensive_power': {'score': 30, 'reason': 'Elite offense (avg ORtg: 116.5)', 'ortg': np.float64(116.55)}, 'pace': {'away_pace': np.float64(100.6), 'home_pace': np.float64(102.0), 'projected_pace': np.float64(101.3), 'pace_score': 25, 'reason': 'Fast pace (101.3)'}, 'form': {'away_form': {'team': 'Philadelphia 76ers', 'last_6_scores': [111.0, 111.0, 139.0, 139.0, 117.0, 117.0], 'avg_last_6': np.float64(122.3), 'season_ppg': np.float64(123.6), 'diff': np.float64(-1.3), 'is_hot': False, 'trend': 'NEUTRAL', 'form_score': 8}, 'home_form': {'team': 'Cleveland Cavaliers', 'last_6_scores': [118.0, 118.0, 111.0, 111.0, 105.0, 105.0], 'avg_last_6': np.float64(111.3), 'season_ppg': np.float64(114.1), 'diff': np.float64(-2.8), 'is_hot': False, 'trend': 'NEUTRAL', 'form_score': 8}, 'combined_score': 8, 'reason': 'Both teams neutral form'}, 'buffer': {'score': 15, 'reason': 'Strong buffer (23.2 pts above minimum)', 'buffer': np.float64(23.19999999999999)}, 'rest': {'away_rest': {'team': 'Philadelphia 76ers', 'game_date': Timestamp('2025-11-05 19:10:00'), 'last_game_date': Timestamp('2025-11-04 00:00:00'), 'rest_days': 1, 'is_b2b': True, 'fatigue_level': 'B2B'}, 'home_rest': {'team': 'Cleveland Cavaliers', 'game_date': Timestamp('2025-11-05 19:10:00'), 'last_game_date': Timestamp('2025-11-02 00:00:00'), 'rest_days': 3, 'is_b2b': False, 'fatigue_level': 'RESTED'}, 'combined_score': 5, 'reason': 'Philadelphia 76ers on back-to-back'}}"
2025-11-05 22:10:00-05:00,Oklahoma City Thunder,Portland Trail Blazers,Oklahoma City Thunder @ Portland Trail Blazers,208.5,-810,YES,83,83,HIGH,BET IT,3% bankroll,Elite offense (avg ORtg: 117.5) | Fast pace (100.8) | Both teams neutral form,"{'offensive_power': {'score': 30, 'reason': 'Elite offense (avg ORtg: 117.5)', 'ortg': np.float64(117.55)}, 'pace': {'away_pace': np.float64(97.7), 'home_pace': np.float64(103.9), 'projected_pace': np.float64(100.8), 'pace_score': 25, 'reason': 'Fast pace (100.8)'}, 'form': {'away_form': {'team': 'Oklahoma City Thunder', 'last_6_scores': [126.0, 126.0, 125.0, 125.0, 107.0, 107.0], 'avg_last_6': np.float64(119.3), 'season_ppg': np.float64(122.6), 'diff': np.float64(-3.3), 'is_hot': False, 'trend': 'COOL', 'form_score': 5}, 'home_form': {'team': 'Portland Trail Blazers', 'last_6_scores': [107.0, 107.0, 114.0, 114.0, 136.0, 136.0], 'avg_last_6': np.float64(119.0), 'season_ppg': np.float64(120.3), 'diff': np.float64(-1.3), 'is_hot': False, 'trend': 'NEUTRAL', 'form_score': 8}, 'combined_score': 8, 'reason': 'Both teams neutral form'}, 'buffer': {'score': 15, 'reason': 'Strong buffer (34.4 pts above minimum)', 'buffer': np.float64(34.39999999999998)}, 'rest': {'away_rest': {'team': 'Oklahoma City Thunder', 'game_date': Timestamp('2025-11-05 22:10:00'), 'last_game_date': Timestamp('2025-11-04 00:00:00'), 'rest_days': 1, 'is_b2b': True, 'fatigue_level': 'B2B'}, 'home_rest': {'team': 'Portland Trail Blazers', 'game_date': Timestamp('2025-11-05 22:10:00'), 'last_game_date': Timestamp('2025-11-03 00:00:00'), 'rest_days': 2, 'is_b2b': False, 'fatigue_level': 'SHORT_REST'}, 'combined_score': 5, 'reason': 'Oklahoma City Thunder on back-to-back'}}"
2025-11-05 20:00:00-05:00,Houston Rockets,Memphis Grizzlies,Houston Rockets @ Memphis Grizzlies,211.5,-930,YES,82,82,HIGH,BET IT,3% bankroll,Elite offense (avg ORtg: 118.8) | Above average pace (99.5) | Houston Rockets hot (HOT),"{'offensive_power': {'score': 30, 'reason': 'Elite offense (avg ORtg: 118.8)', 'ortg': np.float64(118.85)}, 'pace': {'away_pace': np.float64(96.8), 'home_pace': np.float64(102.2), 'projected_pace': np.float64(99.5), 'pace_score': 15, 'reason': 'Above average pace (99.5)'}, 'form': {'away_form': {'team': 'Houston Rockets', 'last_6_scores': [128.0, 128.0, 124.0, 124.0, 139.0, 139.0], 'avg_last_6': np.float64(130.3), 'season_ppg': np.float64(124.8), 'diff': np.float64(5.5), 'is_hot': True, 'trend': 'HOT', 'form_score': 20}, 'home_form': {'team': 'Memphis Grizzlies', 'last_6_scores': [104.0, 104.0, 128.0, 128.0, 114.0, 114.0], 'avg_last_6': np.float64(115.3), 'season_ppg': np.float64(115.5), 'diff': np.float64(-0.2), 'is_hot': False, 'trend': 'NEUTRAL', 'form_score': 8}, 'combined_score': 12, 'reason': 'Houston Rockets hot (HOT)'}, 'buffer': {'score': 15, 'reason': 'Strong buffer (28.8 pts above minimum)', 'buffer': np.float64(28.80000000000001)}, 'rest': {'away_rest': {'team': 'Houston Rockets', 'game_date': Timestamp('2025-11-05 20:00:00'), 'last_game_date': Timestamp('2025-11-03 00:00:00'), 'rest_days': 2, 'is_b2b': False, 'fatigue_level': 'SHORT_REST'}, 'home_rest': {'team': 'Memphis Grizzlies', 'game_date': Timestamp('2025-11-05 20:00:00'), 'last_game_date': Timestamp('2025-11-03 00:00:00'), 'rest_days': 2, 'is_b2b': False, 'fatigue_level': 'SHORT_REST'}, 'combined_score': 10, 'reason': 'Both teams rested (2+ days)'}}"
2025-11-05 19:30:00-05:00,Minnesota Timberwolves,New York Knicks,Minnesota Timberwolves @ New York Knicks,205.5,-980,MAYBE,78,78,MEDIUM,REVIEW MANUALLY,2% bankroll (if you bet),Elite offense (avg ORtg: 117.7) | Above average pace (99.1) | Both teams neutral form,"{'offensive_power': {'score': 30, 'reason': 'Elite offense (avg ORtg: 117.7)', 'ortg': np.float64(117.65)}, 'pace': {'away_pace': np.float64(99.1), 'home_pace': np.float64(99.1), 'projected_pace': np.float64(99.1), 'pace_score': 15, 'reason': 'Above average pace (99.1)'}, 'form': {'away_form': {'team': 'Minnesota Timberwolves', 'last_6_scores': [114.0, 114.0, 118.0, 118.0, 115.0, 115.0], 'avg_last_6': np.float64(115.7), 'season_ppg': np.float64(116.9), 'diff': np.float64(-1.2), 'is_hot': False, 'trend': 'NEUTRAL', 'form_score': 8}, 'home_form': {'team': 'New York Knicks', 'last_6_scores': [107.0, 107.0, 111.0, 111.0, 119.0, 119.0], 'avg_last_6': np.float64(112.3), 'season_ppg': np.float64(116.3), 'diff': np.float64(-4.0), 'is_hot': False, 'trend': 'COOL', 'form_score': 5}, 'combined_score': 8, 'reason': 'Both teams neutral form'}, 'buffer': {'score': 15, 'reason': 'Strong buffer (27.7 pts above minimum)', 'buffer': np.float64(27.69999999999999)}, 'rest': {'away_rest': {'team': 'Minnesota Timberwolves', 'game_date': Timestamp('2025-11-05 19:30:00'), 'last_game_date': Timestamp('2025-11-03 00:00:00'), 'rest_days': 2, 'is_b2b': False, 'fatigue_level': 'SHORT_REST'}, 'home_rest': {'team': 'New York Knicks', 'game_date': Timestamp('2025-11-05 19:30:00'), 'last_game_date': Timestamp('2025-11-03 00:00:00'), 'rest_days': 2, 'is_b2b': False, 'fatigue_level': 'SHORT_REST'}, 'combined_score': 10, 'reason': 'Both teams rested (2+ days)'}}"
2025-11-05 22:00:00-05:00,San Antonio Spurs,Los Angeles Lakers,San Antonio Spurs @ Los Angeles Lakers,205.5,-870,MAYBE,78,78,MEDIUM,REVIEW MANUALLY,2% bankroll (if you bet),Elite offense (avg ORtg: 118.6) | Above average pace (99.4) | Both teams neutral form,"{'offensive_power': {'score': 30, 'reason': 'Elite offense (avg ORtg: 118.6)', 'ortg': np.float64(118.6)}, 'pace': {'away_pace': np.float64(98.2), 'home_pace': np.float64(100.6), 'projected_pace': np.float64(99.4), 'pace_score': 15, 'reason': 'Above average pace (99.4)'}, 'form': {'away_form': {'team': 'San Antonio Spurs', 'last_6_scores': [118.0, 118.0, 107.0, 107.0, 125.0, 125.0], 'avg_last_6': np.float64(116.7), 'season_ppg': np.float64(118.2), 'diff': np.float64(-1.5), 'is_hot': False, 'trend': 'NEUTRAL', 'form_score': 8}, 'home_form': {'team': 'Los Angeles Lakers', 'last_6_scores': [127.0, 127.0, 109.0, 109.0, 116.0, 116.0], 'avg_last_6': np.float64(117.3), 'season_ppg': np.float64(119.8), 'diff': np.float64(-2.5), 'is_hot': False, 'trend': 'NEUTRAL', 'form_score': 8}, 'combined_score': 8, 'reason': 'Both teams neutral form'}, 'buffer': {'score': 15, 'reason': 'Strong buffer (32.5 pts above minimum)', 'buffer': np.float64(32.5)}, 'rest': {'away_rest': {'team': 'San Antonio Spurs', 'game_date': Timestamp('2025-11-05 22:00:00'), 'last_game_date': Timestamp('2025-11-02 00:00:00'), 'rest_days': 3, 'is_b2b': False, 'fatigue_level': 'RESTED'}, 'home_rest': {'team': 'Los Angeles Lakers', 'game_date': Timestamp('2025-11-05 22:00:00'), 'last_game_date': Timestamp('2025-11-03 00:00:00'), 'rest_days': 2, 'is_b2b': False, 'fatigue_level': 'SHORT_REST'}, 'combined_score': 10, 'reason': 'Both teams rested (3+ days)'}}"
2025-11-05 22:00:00-05:00,Golden State Warriors,Sacramento Kings,Golden State Warriors @ Sacramento Kings,203.5,-860,NO,65,65,LOW,SKIP,0%,Strong offense (avg ORtg: 115.3) | Fast pace (100.8) | Strong buffer (30.4 pts above minimum),"{'offensive_power': {'score': 20, 'reason': 'Strong offense (avg ORtg: 115.3)', 'ortg': np.float64(115.35)}, 'pace': {'away_pace': np.float64(100.0), 'home_pace': np.float64(101.5), 'projected_pace': np.float64(100.8), 'pace_score': 25, 'reason': 'Fast pace (100.8)'}, 'form': {'away_form': {'team': 'Golden State Warriors', 'last_6_scores': [118.0, 118.0, 119.0, 119.0, 98.0, 98.0], 'avg_last_6': np.float64(111.7), 'season_ppg': np.float64(117.6), 'diff': np.float64(-5.9), 'is_hot': False, 'trend': 'COLD', 'form_score': 0}, 'home_form': {'team': 'Sacramento Kings', 'last_6_scores': [101.0, 101.0, 116.0, 116.0, 113.0, 113.0], 'avg_last_6': np.float64(110.0), 'season_ppg': np.float64(116.3), 'diff': np.float64(-6.3), 'is_hot': False, 'trend': 'COLD', 'form_score': 0}, 'combined_score': 0, 'reason': 'Golden State Warriors cold (scoring slump)'}, 'buffer': {'score': 15, 'reason': 'Strong buffer (30.4 pts above minimum)', 'buffer': np.float64(30.399999999999977)}, 'rest': {'away_rest': {'team': 'Golden State Warriors', 'game_date': Timestamp('2025-11-05 22:00:00'), 'last_game_date': Timestamp('2025-11-04 00:00:00'), 'rest_days': 1, 'is_b2b': True, 'fatigue_level': 'B2B'}, 'home_rest': {'team': 'Sacramento Kings', 'game_date': Timestamp('2025-11-05 22:00:00'), 'last_game_date': Timestamp('2025-11-03 00:00:00'), 'rest_days': 2, 'is_b2b': False, 'fatigue_level': 'SHORT_REST'}, 'combined_score': 5, 'reason': 'Golden State Warriors on back-to-back'}}"
2025-11-05 19:30:00-05:00,Washington Wizards,Boston Celtics,Washington Wizards @ Boston Celtics,210.5,-930,NO,62,62,LOW,SKIP,0%,Fast pace (100.6) | Both teams hot (HOT/HOT) | Moderate buffer (12.6 pts above minimum),"{'offensive_power': {'score': 0, 'reason': 'Weak offense (avg ORtg: 110.2) - RED FLAG', 'ortg': np.float64(110.2)}, 'pace': {'away_pace': np.float64(104.7), 'home_pace': np.float64(96.5), 'projected_pace': np.float64(100.6), 'pace_score': 25, 'reason': 'Fast pace (100.6)'}, 'form': {'away_form': {'team': 'Washington Wizards', 'last_6_scores': [108.0, 108.0, 134.0, 134.0, 120.0, 120.0], 'avg_last_6': np.float64(120.7), 'season_ppg': np.float64(112.6), 'diff': np.float64(8.1), 'is_hot': True, 'trend': 'HOT', 'form_score': 20}, 'home_form': {'team': 'Boston Celtics', 'last_6_scores': [113.0, 113.0, 116.0, 116.0, 125.0, 125.0], 'avg_last_6': np.float64(118.0), 'season_ppg': np.float64(110.5), 'diff': np.float64(7.5), 'is_hot': True, 'trend': 'HOT', 'form_score': 20}, 'combined_score': 20, 'reason': 'Both teams hot (HOT/HOT)'}, 'buffer': {'score': 7, 'reason': 'Moderate buffer (12.6 pts above minimum)', 'buffer': np.float64(12.599999999999994)}, 'rest': {'away_rest': {'team': 'Washington Wizards', 'game_date': Timestamp('2025-11-05 19:30:00'), 'last_game_date': Timestamp('2025-11-03 00:00:00'), 'rest_days': 2, 'is_b2b': False, 'fatigue_level': 'SHORT_REST'}, 'home_rest': {'team': 'Boston Celtics', 'game_date': Timestamp('2025-11-05 19:30:00'), 'last_game_date': Timestamp('2025-11-03 00:00:00'), 'rest_days': 2, 'is_b2b': False, 'fatigue_level': 'SHORT_REST'}, 'combined_score': 10, 'reason': 'Both teams rested (2+ days)'}}"
2025-11-05 19:00:00-05:00,Brooklyn Nets,Indiana Pacers,Brooklyn Nets @ Indiana Pacers,211.5,-1080,NO,54,54,LOW,SKIP,0%,Fast pace (100.4) | Indiana Pacers hot (WARM) | Moderate buffer (13.3 pts above minimum),"{'offensive_power': {'score': 0, 'reason': 'Weak offense (avg ORtg: 110.3) - RED FLAG', 'ortg': np.float64(110.35)}, 'pace': {'away_pace': np.float64(98.9), 'home_pace': np.float64(101.9), 'projected_pace': np.float64(100.4), 'pace_score': 25, 'reason': 'Fast pace (100.4)'}, 'form': {'away_form': {'team': 'Brooklyn Nets', 'last_6_scores': [107.0, 107.0, 117.0, 117.0, 112.0, 112.0], 'avg_last_6': np.float64(112.0), 'season_ppg': np.float64(111.9), 'diff': np.float64(0.1), 'is_hot': False, 'trend': 'NEUTRAL', 'form_score': 8}, 'home_form': {'team': 'Indiana Pacers', 'last_6_scores': [110.0, 110.0, 135.0, 135.0, 105.0, 105.0], 'avg_last_6': np.float64(116.7), 'season_ppg': np.float64(112.9), 'diff': np.float64(3.8), 'is_hot': True, 'trend': 'WARM', 'form_score': 12}, 'combined_score': 12, 'reason': 'Indiana Pacers hot (WARM)'}, 'buffer': {'score': 7, 'reason': 'Moderate buffer (13.3 pts above minimum)', 'buffer': np.float64(13.300000000000011)}, 'rest': {'away_rest': {'team': 'Brooklyn Nets', 'game_date': Timestamp('2025-11-05 19:00:00'), 'last_game_date': Timestamp('2025-11-03 00:00:00'), 'rest_days': 2, 'is_b2b': False, 'fatigue_level': 'SHORT_REST'}, 'home_rest': {'team': 'Indiana Pacers', 'game_date': Timestamp('2025-11-05 19:00:00'), 'last_game_date': Timestamp('2025-11-03 00:00:00'), 'rest_days': 2, 'is_b2b': False, 'fatigue_level': 'SHORT_REST'}, 'combined_score': 10, 'reason': 'Both teams rested (2+ days)'}}"
2025-11-05 20:40:00-05:00,New Orleans Pelicans,Dallas Mavericks,New Orleans Pelicans @ Dallas Mavericks,206.5,-930,NO,45,45,LOW,SKIP,0%,Fast pace (100.3) | Dallas Mavericks hot (HOT) | Small buffer (9.7 pts),"{'offensive_power': {'score': 0, 'reason': 'Weak offense (avg ORtg: 107.0) - RED FLAG', 'ortg': np.float64(107.0)}, 'pace': {'away_pace': np.float64(97.5), 'home_pace': np.float64(103.2), 'projected_pace': np.float64(100.4), 'pace_score': 25, 'reason': 'Fast pace (100.3)'}, 'form': {'away_form': {'team': 'New Orleans Pelicans', 'last_6_scores': [116.0, 116.0, 122.0, 122.0, 88.0, 88.0], 'avg_last_6': np.float64(108.7), 'season_ppg': np.float64(108.9), 'diff': np.float64(-0.2), 'is_hot': False, 'trend': 'NEUTRAL', 'form_score': 8}, 'home_form': {'team': 'Dallas Mavericks', 'last_6_scores': [139.0, 139.0, 92.0, 92.0, 107.0, 107.0], 'avg_last_6': np.float64(112.7), 'season_ppg': np.float64(107.3), 'diff': np.float64(5.4), 'is_hot': True, 'trend': 'HOT', 'form_score': 20}, 'combined_score': 12, 'reason': 'Dallas Mavericks hot (HOT)'}, 'buffer': {'score': 3, 'reason': 'Small buffer (9.7 pts)', 'buffer': np.float64(9.699999999999989)}, 'rest': {'away_rest': {'team': 'New Orleans Pelicans', 'game_date': Timestamp('2025-11-05 20:40:00'), 'last_game_date': Timestamp('2025-11-04 00:00:00'), 'rest_days': 1, 'is_b2b': True, 'fatigue_level': 'B2B'}, 'home_rest': {'team': 'Dallas Mavericks', 'game_date': Timestamp('2025-11-05 20:40:00'), 'last_game_date': Timestamp('2025-11-03 00:00:00'), 'rest_days': 2, 'is_b2b': False, 'fatigue_level': 'SHORT_REST'}, 'combined_score': 5, 'reason': 'New Orleans Pelicans on back-to-back'}}"
